,QID,Name,P21,P21ref,P91,P91ref,P6553,P6553ref,pronounsEn
1421727,Q56703033,Mafuyu Konishi,transgender female,,bisexuality,,,,
1422559,Q65034909,Heidi Moses,female,,lesbianism,,,,
1426025,Q107510793,Domien Michiels,male,,homosexuality,,,,
1426731,Q435852,Anja Hammerseng-Edin,female,,lesbianism,,,,
1428413,Q24279402,Nagore Robles,female,,lesbianism,,,,
1428414,Q24279402,Nagore Robles,female,,homosexuality,,,,
1428774,Q61347931,Olga Chajdas,female,,lesbianism,,,,
1429255,Q868648,Henk Nijboer,male,,homosexuality,,,,
1429414,Q1888059,Yoann Lemoine,male,,homosexuality,,,,
1430017,Q5665975,Álex Anwandter,male,,homosexuality,,,,
1431810,Q283504,Diora Baird,female,,lesbianism,,,,
1431873,Q452567,Hedvig Lindahl,female,,homosexuality,,,,
1432640,Q5386029,Eric André,male,,bisexuality,,,,
1432728,Q6108767,Rick Cosnett,male,,gay,,,,
1433582,Q21856151,Leonardo Grosso,male,,homosexuality,,,,
1433825,Q50379407,Tan France,male,,homosexuality,,,,
1434317,Q10070,Jacob Appelbaum,male,,non-heterosexuality,,,,
1434933,Q5066201,Chad Connell,male,,homosexuality,,,,
1435564,Q11890491,Reino Nordin,male,,bisexuality,,,,
1435868,Q18386329,Justin Simien,male,,homosexuality,,,,
1435908,Q19847396,Jean-Baptiste Marteau,male,,homosexuality,,,,
1436564,Q59725627,Reut Naggar,female,,lesbianism,,,,
1436640,Q67541443,Magdalen Berns,female,,lesbianism,,,,
1437062,Q940676,Rachael Vanderwal,female,,non-heterosexuality,,,,
1437782,Q6315685,Jussie Smollett,male,,homosexuality,,,,
1437871,Q7026688,Nick Adams,male,,homosexuality,,,,
1437985,Q7814766,Tom Allen,male,,homosexuality,,,,
1439070,Q73683838,Anna Maria Żukowska,female,,bisexuality,,,,
1441937,Q186329,Mika,male,,homosexuality,,,,
1441950,Q240222,Missy Higgins,female,,bisexuality,,,,
1442064,Q638209,Christian Chávez,male,,homosexuality,,,,
1442085,Q721223,Christophe Willem,male,,bisexuality,,,,
1444680,Q1165449,Mark Kanemura,male,,gay,,,,
1444693,Q1321323,Scott Evans,male,,homosexuality,,,,
1444797,Q2106309,Tom De Cock,male,,homosexuality,,,,
1446380,Q28870234,Nichi Hodgson,female,,bisexuality,,,,
1446846,Q15897,Amy Winehouse,female,,bisexuality,,,,
1447001,Q271500,Tessa Thompson,female,,bisexuality,,,,
1447009,Q285556,Sunette Viljoen,female,,homosexuality,,,,
1447077,Q483376,Loreen,female,,bisexuality,,,,
1447426,Q2985367,Sinn Sage,female,,bisexuality,,,,
1447906,Q6779652,Mary González,female,,pansexuality,,,,
1448125,Q10321888,Lzzy Hale,female,,bisexuality,,,,
1448424,Q16222230,Shevrin D. Jones,male,,homosexuality,,,,
1448725,Q24871399,Melissa King,female,,gay,,,,
1449360,Q243017,Daniela Iraschko-Stolz,female,,lesbianism,,,,
1449409,Q440001,Gillian Apps,female,,lesbianism,,,,
1449543,Q1068688,Darren Young,male,,homosexuality,,,,
1449761,Q2917080,Rostam Batmanglij,male,,homosexuality,,,,
1450391,Q7860016,Tyler Glenn,male,,homosexuality,,,,
1450969,Q20744766,Jen Vaughn,female,,bisexuality,,L484,,she/her
1451048,Q24088887,"Omar Sharif, Jr.",male,,homosexuality,,,,
1451852,Q911342,Mátyás Dunajcsik,male,,homosexuality,,,,
1452623,Q7426855,Satya Bhabha,male,,homosexuality,,,,
1453550,Q59069748,Sarah Croce,female,,lesbianism,,,,
1453641,Q69995455,Meg Onli,female,,lesbianism,,,,
1454009,Q378678,Sophie Dee,female,,bisexuality,,,,
1454180,Q537222,Ran Danker,male,,bisexuality,,,,
1454232,Q723057,Kate McKinnon,female,,lesbianism,,,,
1454623,Q2026055,Bonnie McKee,female,,bisexuality,,,,
1455105,Q4678750,Adam Bock,male,,homosexuality,,,,
1455340,Q6100828,Raymond Gutierrez,male,,gay,,,,
1456754,Q16147303,Desiree Akhavan,female,,bisexuality,,,,
1457036,Q19667527,Jim Sterling,non-binary,,pansexuality,,L371,,they/them
1457068,Q17489217,Alessio Arena,male,,homosexuality,,,,
1457338,Q20090524,Patrisse Khan-Cullors,female,,non-heterosexuality,,,,
1457735,Q23767048,Charlie Covell,female,,lesbianism,,,,
1458495,Q41498745,Kiri Allan,female,,non-heterosexuality,,,,
1458960,Q54612577,Elaine Castillo,female,,bisexuality,,,,
1460629,Q75715994,Marie Kirschen,female,,lesbianism,,,,
1463785,Q10885,Fara Williams,female,,non-heterosexuality,,,,
1464115,Q1523288,Liz Carmouche,female,,lesbianism,,,,
1464116,Q1523288,Liz Carmouche,female,,homosexuality,,,,
1464293,Q2724748,Aubrey O'Day,female,,sapiosexuality,,,,
1464312,Q2863228,Arnaud Valois,male,,homosexuality,,,,
1465442,Q16730126,Abbi Jacobson,female,,bisexuality,,,,
1465730,Q27804563,Milan Christopher,male,,homosexuality,,,,
1466306,Q191766,Samantha Stosur,female,,non-heterosexuality,,,,
1468182,Q21512040,Alexandra Roxo,female,,non-heterosexuality,,,,
1468253,Q28105164,Mounir Mahjoubi,male,,homosexuality,,,,
1468292,Q21872733,James L. Sutter,male,,bisexuality,,L485,,he/him
1468560,Q50377216,Antoni Porowski,male,,sexual fluidity,,,,
1468990,Q202823,Seimone Augustus,female,,homosexuality,,,,
1470888,Q24203310,Mandy Morbid,female,,bisexuality,,L484,,she/her
1470962,Q27954994,Jessa Hinton,female,,bisexuality,,,,
1471122,Q55760318,Michael Arceneaux,male,,homosexuality,,,,
1473066,Q11922878,Francesc Xavier Ferri Fayos,male,,homosexuality,,,,
1473451,Q21856066,Analuz Ailen Carol,female,,non-heterosexuality,,,,
1473457,Q21872808,Lena Waithe,female,,lesbianism,,,,
1475422,Q7823747,Tonya Evinger,female,,lesbianism,,,,
1478414,Q16204488,Josh Barro,male,,homosexuality,,,,
1478865,Q28532064,Kazlaser,male,,bisexuality,,,,
1478965,Q47515041,Adam Pate,male,,homosexuality,,,,
1479560,Q454740,Nilla Fischer,female,,lesbianism,,,,
1479561,Q454740,Nilla Fischer,female,,homosexuality,,,,
1479773,Q1518861,Owen Jones,male,,gay,,,,
1480565,Q7352899,Robin de Jesús,male,,homosexuality,,,,
1480994,Q15137813,Yun Hyon-seok,male,,gay,,,,
1481483,Q28651571,Briana Venskus,female,,bisexuality,,,,
1481919,Q95698426,Joe Talbot,male,,bisexuality,,,,
1482400,Q1383461,Mayssa Pessoa,female,,bisexuality,,,,
1482539,Q2446257,Cheryl Maas,female,,lesbianism,,,,
1482633,Q3193943,Katarzyna Skorupa,female,,lesbianism,,,,
1482992,Q5734480,Bruno Ascenzo,male,,homosexuality,,,,
1483324,Q7924993,Vicci Martinez,female,,lesbianism,,,,
1483882,Q19661389,Wendy Umanzor,female,,homosexuality,,,,
1484022,Q24851891,Letoya Makhene,female,,lesbianism,,,,
1484153,Q30113297,Cecil Brockman,male,,bisexuality,,,,
1484317,Q59974187,Manolo Caro,male,,homosexuality,,,,
1486534,Q22958604,Jeffrey Bowyer-Chapman,male,,homosexuality,,,,
1486572,Q24289779,Natalia Leite,female,,lesbianism,,,,
1487219,Q10864,Karen Bardsley,female,,non-heterosexuality,,,,
1489128,Q57915865,Lindsay Ellis,female,,bisexuality,,,,
1489197,Q64873770,Sandra Reehs,female,,bisexuality,,,,
1491098,Q19940372,Dan Amboyer,male,,homosexuality,,,,
1491299,Q27960489,June Fernández,female,,lesbianism,,,,
1491524,Q62091828,Marla Mindelle,female,,lesbianism,,,,
1492897,Q4402201,Eric Radford,male,,homosexuality,,,,
1493512,Q6548462,Lily Cade,female,,lesbianism,,,,
1495547,Q22277410,Casey Conway,male,,gay,,,,
1495584,Q23007555,Charlene Carruthers,cisgender female,,lesbianism,,,,
1495747,Q24733883,Claire Oakley,female,,non-heterosexuality,,,,
1496337,Q30349632,Pacôme Rupin,male,,homosexuality,,,,
1498009,Q64414840,Ash Christian,male,,gay,,,,
1498795,Q75680653,Adam Lowe,male,,non-heterosexuality,,,,
1499503,Q79393165,Lucile Bellan,female,,bisexuality,,,,
1500681,Q99399802,Punkie Johnson,female,,lesbianism,,,,
1501904,Q228832,Julia Volkova,female,,bisexuality,,,,
1501979,Q457106,Natalie Morales,female,,non-heterosexuality,,,,
1503258,Q11526664,Koyuki Higashi,female,,lesbianism,,,,
1504476,Q460924,Caroline Seger,female,,homosexuality,,,,
1504916,Q3067919,Sauli Koskinen,male,,homosexuality,,,,
1505354,Q5622085,Guy Benson,male,,homosexuality,,,,
1505684,Q8195126,Alfonso Dosal,male,,bisexuality,,,,
1506128,Q16224052,Angela White,female,,bisexuality,,,,
1506137,Q16337390,Eduardo Leite,male,,gay,,,,
1506260,Q18638577,Max Jenkins,male,,homosexuality,,,,
1506650,Q43559317,Marja-Lewis Ryan,female,,lesbianism,,,,
1507837,Q3808136,Jessica Clark,female,,lesbianism,,,,
1508348,Q7407093,Sam Altman,male,,gay,,,,
1508799,Q16205820,Todrick Hall,male,,homosexuality,,,,
1508898,Q17386074,Jamie Gray Hyder,female,,non-heterosexuality,,,,
1510009,Q635785,Erin Phillips,female,,lesbianism,,,,
1510370,Q2918927,Andrew Keenan-Bolger,male,,homosexuality,,,,
1510625,Q4406124,Chris Salvatore,male,,homosexuality,,,,
1510709,Q5017880,Caitlin Cahow,female,,lesbianism,,,,
1510710,Q5017880,Caitlin Cahow,female,,lesbianism,,,,
1511691,Q16975892,Elly Schlein,female,,bisexuality,,,,
1511713,Q17378217,David Miranda,male,,homosexuality,,,,
1511967,Q25298820,Becky Chambers,female,,gay,,,,
1512604,Q102052407,Erica Cameron,female,,asexuality,,L484,,she/her
1513750,Q7150347,Paul Downs Colaizzo,male,,homosexuality,,,,
1514417,Q19930597,Cat Smith,female,,bisexuality,,,,
1514620,Q27660156,Benj Pasek,male,,homosexuality,,,,
1515208,Q106771906,James Williams,male,,homosexuality,,L485,,he/him
1515280,Q233144,Teagan Presley,female,,bisexuality,,,,
1515286,Q260725,Megan Rapinoe,female,,lesbianism,,,,
1515336,Q443672,Vanessa Lengies,female,,bisexuality,,,,
1515370,Q511646,Camila Moreno,female,,bisexuality,,,,
1515399,Q621537,Élodie Godin,female,,homosexuality,,,,
1515459,Q970787,François Arnaud,male,,bisexuality,,,,
1516048,Q5214017,Ryan Dolan,male,,homosexuality,,,,
1516317,Q7279089,Rachael Rapinoe,female,,lesbianism,,,,
1516911,Q17466519,Tess Holliday,female,,pansexuality,,,,
1516986,Q19893379,DeRay Mckesson,male,,homosexuality,,,,
1517129,Q24960467,Angela Peñaherrera,female,,lesbianism,,,,
1517237,Q28921867,Mary Wiseman,female,,non-heterosexuality,,,,
1517836,Q70274,Daniel Küblböck,male,,bisexuality,,,,
1517880,Q271795,Crystal Bowersox,female,,bisexuality,,,,
1519885,Q51858345,Steve Orlando,male,,bisexuality,,,,
1519979,Q61872892,Ellie Wizmas,transgender female,,bisexuality,,L484,,she/her
1519992,Q62287294,Honey Davenport,male,,gay,,,,
1520585,Q943823,Eréndira Ibarra,female,,bisexuality,,,,
1521876,Q13371954,Jul' Maroh,non-binary,,lesbianism,,L371,,they/them
1521877,Q13371954,Jul' Maroh,transgender person,,lesbianism,,L371,,they/them
1522728,Q76074578,Gulliver Methuen-Campbell,male,,homosexuality,,,,
1524014,Q7488905,Shannon Lynn,female,,lesbianism,,,,
1524795,Q25513887,Sophie Gradon,female,,bisexuality,,,,
1524877,Q28872465,Rébecca Chaillon,female,,non-heterosexuality,,,,
1525447,Q15510,Kerron Clement,male,,homosexuality,,,,
1525513,Q370864,Jeffree Star,male,,gay,,,,
1525545,Q533419,Lara Dickenmann,female,,lesbianism,,,,
1526032,Q4885204,Ben Aldridge,male,,non-heterosexuality,,,,
1526244,Q6417491,Kit Williamson,male,,homosexuality,,,,
1526368,Q7384488,Ryan Sampson,male,,homosexuality,,,,
1526820,Q16337707,Ju Moraes,female,,lesbianism,,,,
1526821,Q16337707,Ju Moraes,female,,homosexuality,,,,
1527126,Q25324743,Saeed Jones,male,,homosexuality,,,,
1527731,Q61483,Nadine Müller,female,,non-heterosexuality,,,,
1527750,Q188648,Raven-Symoné,female,,lesbianism,,,,
1527760,Q234356,Janelle Monáe,non-binary,,pansexuality,,L371,,they/them
1527761,Q234356,Janelle Monáe,female,,pansexuality,,L371,,they/them
1527762,Q234356,Janelle Monáe,non-binary,,pansexuality,,L484,,she/her
1527763,Q234356,Janelle Monáe,female,,pansexuality,,L484,,she/her
1529088,Q16202204,Shane Bitney Crone,male,,homosexuality,,,,
1529222,Q19366433,Nina Nunes,female,,lesbianism,,,,
1529574,Q28967769,Emma Willmann,female,,lesbianism,,,,
1530493,Q1880762,Naomi Halman,female,,lesbianism,,,,
1533478,Q24594812,La Bala Rodríguez,female,,lesbianism,,,,
1533875,Q27916467,Julian Cyr,male,,homosexuality,,,,
1534071,Q29797712,Foz Meadows,non-binary,,bisexuality,,L484,,she/her
1534330,Q42535294,Martina Kaufmann,female,,homosexuality,,,,
1534697,Q51816450,Debbie Lynch-White,female,,lesbianism,,,,
1534713,Q52004471,Suzi Ruffell,female,,homosexuality,,,,
1535246,Q60635159,Eugene Lee Yang,male,,homosexuality,,,,
1535395,Q64919151,Katie Sowers,female,,lesbianism,,,,
1535396,Q64929797,Andy Ngo,male,,homosexuality,,,,
1539571,Q2404977,Jameela Jamil,female,,bisexuality,,,,
1541299,Q65038739,Alessio Orsingher,male,,homosexuality,,,,
1542316,Q3942185,Ruby Rose,genderfluid,,lesbianism,,L484,,she/her
1543322,Q16231526,George Salazar,male,,homosexuality,,,,
1543785,Q28484514,Erin Maye Quade,female,,lesbianism,,,,
1543822,Q29642108,Alberto de Belaunde,male,,homosexuality,,,,
1544324,Q98960976,Gabriel  Sousa Marques de Azevedo,male,,bisexuality,,,,
1544434,Q19848,Lady Gaga,female,,bisexuality,,,,
1544477,Q229166,Amber Heard,female,,non-heterosexuality,,,,
1544478,Q229166,Amber Heard,female,,bisexuality,,,,
1544486,Q239546,Ireen Wüst,female,,bisexuality,,,,
1547246,Q80069,Megan Fox,female,,bisexuality,,,,
1547633,Q2113808,Timo Descamps,male,,homosexuality,,,,
1549207,Q22280056,Roberta Colindrez,female,,lesbianism,,,,
1549288,Q28643144,Or Ben Ezra,male,,homosexuality,,,,
1549320,Q30716473,Rosie Waterland,female,,bisexuality,,,,
1551994,Q23890894,Pelayo Díaz Zapico,male,,homosexuality,,,,
1551995,Q23890894,Pelayo Díaz Zapico,male,,homosexuality,,,,
1552013,Q24287374,Bob the Drag Queen,non-binary,,pansexuality,,L484,,she/her
1552014,Q24287374,Bob the Drag Queen,non-binary,,pansexuality,,L485,,he/him
1552055,Q29429440,Márton Gulyás,male,,homosexuality,,,,
1552424,Q87775098,Merc Fenn Wolfmoor,non-binary,,asexuality,,L371,,they/them
1552701,Q271772,Monica Raymund,female,,bisexuality,,,,
1553365,Q4994108,Khonnor,male,,gay,,,,
1553698,Q7489942,Sharnee Zoll,female,,lesbianism,,,,
1554235,Q17465742,Fern Brady,female,,bisexuality,,,,
1557530,Q60605575,Alexis Sablone,female,,non-heterosexuality,,L484,,she/her
1558017,Q291851,Angel McCoughtry,female,,lesbianism,,,,
1558414,Q2939888,Carole Grundisch,female,,lesbianism,,,,
1558632,Q4749259,Amy Kane,female,,non-heterosexuality,,,,
1558768,Q5414163,Laurie Penny,genderqueer,,pansexuality,,L371,,they/them
1559012,Q7297001,Rawinia Everitt,female,,lesbianism,,,,
1559473,Q16198415,Thomas Beattie,male,,gay,,,,
1559695,Q19957749,Ezra Furman,transgender female,,bisexuality,,L371,,they/them
1559696,Q19957749,Ezra Furman,transgender female,,bisexuality,,L484,,she/her
1560030,Q30165113,Lloyd Russell-Moyle,male,,gay,,,,
1560144,Q55585213,Stephanie Allynne,female,,lesbianism,,,,
1560241,Q65056294,Ryan O'Connell,male,,homosexuality,,,,
1560481,Q88492004,Denis Finnegan,male,,homosexuality,,,,
1560715,Q437685,Stephanie Labbé,female,,lesbianism,,,,
1560785,Q746844,Barbara Jezeršek,female,,non-heterosexuality,,,,
1560802,Q932636,Tyler Blackburn,male,,bisexuality,,,,
1561058,Q3154818,Isabel Fernández Ibarra,female,,lesbianism,,,,
1561118,Q3482359,Shirley Souagnon,female,,lesbianism,,,,
1561271,Q5004829,Bárbara Arenhart,female,,lesbianism,,,,
1561608,Q7383155,Ruth Ojadi,female,,bisexuality,,,,
1561679,Q8193236,Alba Flores villa,female,,lesbianism,,,,
1562084,Q14305591,Sam De Bruyn,male,,homosexuality,,,,
1562787,Q65049442,Atma Weapon,female,,lesbianism,,L484,,she/her
1563832,Q5285382,Djuan Trent,female,,non-heterosexuality,,,,
1563875,Q5648847,Hannah Hart,female,,lesbianism,,,,
1564462,Q16205512,Andy Mientus,male,,bisexuality,,,,
1564759,Q23000844,Hovi Star,male,,gay,,,,
1564832,Q26156021,Kelly Griffin,female,,homosexuality,,,,
1564893,Q27864077,Joseline Hernandez,female,,bisexuality,,,,
1565160,Q63870952,Sarah Rotella,female,,lesbianism,,,,
1565610,Q460056,Maria Gadú,female,,homosexuality,,,,
1566780,Q13561656,AzMarie Livingston,female,,lesbianism,,,,
1566791,Q14513092,Jason Chao,male,,homosexuality,,,,
1568455,Q2318784,Jess Fishlock,female,,lesbianism,,,,
1570638,Q18357160,Beatrice Eli,female,,lesbianism,,,,
1570688,Q18720189,Grace Petrie,female,,lesbianism,,,,
1571358,Q26709567,Chansey Paech,male,,gay,,,,
1571373,Q26996789,Julia Shaw,female,,bisexuality,,,,
1571864,Q34025537,Julien Bahloul,male,,homosexuality,,,,
1574930,Q93570743,Sarah Peters,female,,pansexuality,,,,
1574931,Q93570743,Sarah Peters,female,,bisexuality,,,,
1575886,Q106085594,Gabriel Blanchard,male,,gay,,,,
1575958,Q106828773,Kenny Porpora,male,,gay,,,,
1576246,Q108419144,Marta Cillán,female,,homosexuality,,,,
1576632,Q173399,Elliot Page,non-binary,,non-heterosexuality,,L371,,they/them
1576633,Q173399,Elliot Page,transgender person,,non-heterosexuality,,L371,,they/them
1576634,Q173399,Elliot Page,non-binary,,non-heterosexuality,,L485,,he/him
1576635,Q173399,Elliot Page,transgender person,,non-heterosexuality,,L485,,he/him
1576707,Q454702,Lisa Dahlkvist,female,,homosexuality,,,,
1577064,Q2896231,Benjamin Siksou,male,,homosexuality,,,,
1577731,Q7782865,Theresa Goh,female,,homosexuality,,,,
1578843,Q65030610,Julio Torres,male,,homosexuality,,,,
1579280,Q512571,Emma Twigg,female,,lesbianism,,,,
1579322,Q704184,Devon Graye,male,,homosexuality,,,,
1580199,Q6808018,Meg Turney,female,,bisexuality,,,,
1580455,Q10396384,Ícaro Silva,male,,non-heterosexuality,,,,
1580765,Q16199041,Ollie Locke,male,,gay,,,,
1581435,Q56467585,Katie Banks,female,,bisexuality,,,,
1581779,Q33605,Kesha,female,,bisexuality,,,,
1581988,Q453693,Alexandra Lacrabère,female,,homosexuality,,,,
1581996,Q461396,Carlien Dirkse van den Heuvel,female,,homosexuality,,,,
1582113,Q1047474,Brendon Urie,cisgender male,,pansexuality,,,,
1582348,Q2781921,Jeffrey Wammes,male,,homosexuality,,,,
1582968,Q6847791,Mike Manning,male,,bisexuality,,,,
1583598,Q16832285,Samira Wiley,female,,lesbianism,,,,
1583666,Q18128995,Janine van Wyk,female,,homosexuality,,,,
1584616,Q88094535,Adrian Fartade,male,,pansexuality,,,,
1584709,Q212649,Darin Zanyar,male,,homosexuality,,,,
1584763,Q432995,Allie Haze,female,,bisexuality,,,,
1584764,Q432995,Allie Haze,female,,lesbianism,,,,
1584877,Q924638,Robbie Rogers,male,,homosexuality,,,,
1584952,Q1386500,Terry Reintke,cisgender female,,lesbianism,,L484,,she/her
1585204,Q3266397,Fra Fee,male,,homosexuality,,,,
1585206,Q3268191,Saara Aalto,female,,bisexuality,,,,
1585703,Q6788581,Matt Doyle,male,,homosexuality,,,,
1586295,Q15059442,Michael Angelakos,male,,bisexuality,,,,
1586509,Q20048170,Luedji Luna,female,,bisexuality,,,,
1586645,Q23903083,Pearl Mackie,female,,bisexuality,,,,
1586742,Q27673046,Mae Martin,non-binary,,non-heterosexuality,,L371,,they/them
1587089,Q66722739,Javicia Leslie,female,,bisexuality,,,,
1587252,Q96145004,Stacey Milbern,female,,non-heterosexuality,,,,
1587254,Q96634655,Kimberly Hart-Simpson,female,,pansexuality,,,,
1587255,Q96634655,Kimberly Hart-Simpson,female,,bisexuality,,,,
1587257,Q96781248,Mondaire Jones,male,,gay,,,,
1587469,Q212649,Darin Zanyar,male,,homosexuality,,,,
1588729,Q11570444,Asako Makimura,female,,lesbianism,,,,
1589167,Q21872720,Ali Stroker,female,,bisexuality,,,,
1589345,Q27972674,Aimee Barrett-Theron,female,,lesbianism,,,,
1589632,Q63978256,Maria Walsh,female,,lesbianism,,,,
1589818,Q95148611,Víktor Rom,male,,pansexuality,,,,
1590084,Q18168126,Jessica Yaniv,transgender female,,lesbianism,,L484,,she/her
1590163,Q237270,Mara Wilson,cisgender female,,bisexuality,,,,
1591579,Q12569944,Rebecca Sugar,non-binary,,bisexuality,,L371,,they/them
1591580,Q12569944,Rebecca Sugar,non-binary,,bisexuality,,L484,,she/her
1592137,Q28722324,Richárd Barabás,male,,homosexuality,,,,
1592222,Q43389412,Runar Myrnes Balto,male,,gay,,,,
1592499,Q66712691,Angel DeLuca,female,,bisexuality,,,,
1592524,Q72126265,Brian Jordan Alvarez,male,,homosexuality,,,,
1592847,Q99511931,Niki Skyler,female,,bisexuality,,,,
1593090,Q1163238,Daniel Zamudio,male,,homosexuality,,,,
1593770,Q6762255,Marin Miller,non-binary,,bisexuality,,L371,,they/them
1594594,Q21872720,Ali Stroker,female,,bisexuality,,,,
1594925,Q46998095,Jabari Brisport,male,,gay,,,,
1595199,Q87599034,Jeanna Han,female,,homosexuality,,,,
1595462,Q229230,Evan Rachel Wood,female,,bisexuality,,,,
1596344,Q6809038,Meghan Duggan,female,,lesbianism,,,,
1596369,Q6962355,Nanae Takizawa,female,,lesbianism,,,,
1597113,Q21207227,Jay Armstrong Johnson,male,,homosexuality,,,,
1597951,Q188026,Ariella Kaeslin,female,,lesbianism,,,,
1597988,Q357645,Frank Ocean,male,,bisexuality,,,,
1598976,Q10318337,Liliane Maestrini,female,,non-heterosexuality,,,,
1599541,Q20687753,Miao Poya,female,,lesbianism,,,,
1600541,Q864408,Snooki,female,,bisexuality,,,,
1601969,Q26251722,Kid Fury,male,,gay,,,,
1603515,Q7365461,Ronan Farrow,male,,gay,,,,
1604240,Q22704388,Vanessa Veracruz,female,,bisexuality,,,,
1605427,Q1673547,Isabel Kerschowski,female,,lesbianism,,,,
1609000,Q42290302,Carlos Maza,male,,gay,,L485,,he/him
1609558,Q56856694,Khader Abu-Seif,male,,gay,,,,
1609958,Q61748678,Joan Luengo i Sala,male,,homosexuality,,,,
1610122,Q64729746,Orville Peck,male,,gay,,,,
1612506,Q99519687,Natalia Forrest,female,,bisexuality,,,,
1612950,Q107377136,Shayne Oliver,male,,gay,,,,
1613795,Q437857,Katie Hoyle,female,,homosexuality,,,,
1614004,Q2360877,Brittany Bowe,female,,lesbianism,,,,
1614426,Q5387900,Erica Mendez,female,,asexuality,,,,
1614660,Q6984659,David Lavi,male,,homosexuality,,,,
1615150,Q16201004,Charlie Barnett,male,,homosexuality,,,,
1615347,Q18609143,Milán Rózsa,male,,homosexuality,,,,
1615488,Q21061798,Keegan Hirst,male,,homosexuality,,,,
1615644,Q27451740,Moana Hope,female,,non-heterosexuality,,,,
1615690,Q28528673,Nakhane Touré,male,,homosexuality,,,,
1615866,Q55733009,eunhasun,female,,bisexuality,,,,
1615896,Q60048482,Joel Kim Booster,male,,homosexuality,,,,
1616399,Q280309,Matthew Mitcham,male,,homosexuality,,,,
1616560,Q988996,Elly Jackson,non-binary,,lesbianism,,,,
1616968,Q3756675,Gabriele Rossi,male,,homosexuality,,,,
1617928,Q16205227,Ritchie Torres,male,,homosexuality,,,,
1618257,Q20961913,Christophe Madrolle,male,,pansexuality,,,,
1618507,Q28122456,Austin Armacost,male,,homosexuality,,,,
1618696,Q52576885,Shyle Zalewski,non-binary,,bisexuality,,L9188,,she/her
1618697,Q52576885,Shyle Zalewski,non-binary,,bisexuality,,L9257,,he/him
1619243,Q2709,Sasha Grey,female,,bisexuality,,,,
1619718,Q3240946,Lily Carter,female,,bisexuality,,,,
1620131,Q6272488,Jonathan Bailey,male,,homosexuality,,,,
1621036,Q20408556,Hamed Sinno,male,,homosexuality,,,,
1621217,Q24572584,Sophie Labelle,non-binary,,bisexuality,,L371,,they/them
1621218,Q24572584,Sophie Labelle,transgender female,,bisexuality,,L371,,they/them
1621219,Q24572584,Sophie Labelle,non-binary,,bisexuality,,L484,,she/her
1621220,Q24572584,Sophie Labelle,transgender female,,bisexuality,,L484,,she/her
1621242,Q25768167,Ghislaine Landry,female,,lesbianism,,,,
1621396,Q30589027,Alfie Arcuri,male,,homosexuality,,,,
1622208,Q803786,Billy Gilman,male,,homosexuality,,,,
1622209,Q825305,Marcus Collins,male,,homosexuality,,,,
1622661,Q4739716,Amanda Nunes,female,,lesbianism,,,,
1622897,Q6386294,Kelly Sibley,female,,lesbianism,,,,
1623874,Q22037461,Bogdan Globa,male,,homosexuality,,,,
1624222,Q43373901,Vikas Gupta,male,,bisexuality,,,,
1624875,Q232307,Mae Whitman,female,,pansexuality,,,,
1624898,Q314427,Kevin McHale,male,,homosexuality,,,,
1625563,Q5516152,Gaby Dunn,female,,pansexuality,,,,
1625564,Q5516152,Gaby Dunn,female,,bisexuality,,,,
1626170,Q15838567,Christine and the Queens,genderqueer,,pansexuality,,,,
1626462,Q19893374,Patrick McKee,male,,homosexuality,,,,
1627049,Q62027942,Brittani Nichols,female,,lesbianism,,,,
1627355,Q26054,Isabell Herlovsen,female,,homosexuality,,,,
1627480,Q185679,Nico Tortorella,genderfluid,,demisexuality,,L371,,they/them
1627481,Q185679,Nico Tortorella,genderfluid,,bisexuality,,L371,,they/them
1627506,Q311078,Shane Dawson,male,,bisexuality,,,,
1627532,Q454029,Charlie Carver,male,,homosexuality,,,,
1627627,Q932975,Colton Haynes,male,,homosexuality,,,,
1627945,Q3311427,Michelle Heyman,female,,lesbianism,,,,
1628300,Q6123005,Sebastián Vega,male,,homosexuality,,,,
1628322,Q6211024,Joe Lycett,male,,pansexuality,,,,
1628323,Q6211024,Joe Lycett,male,,bisexuality,,,,
1629734,Q52063793,Hailie Sahar,transgender female,,t2331490498,,,,
1630232,Q233328,Johanna Larsson,female,,lesbianism,,,,
1630901,Q4935788,Emilia Ramboldt,female,,lesbianism,,,,
1631601,Q15231345,Syarhey Androsyenka,male,,homosexuality,,,,
1633235,Q1856136,Paul Iacono,male,,homosexuality,,,,
1633377,Q3025396,Yanis,non-binary,,gay,,,,
1633378,Q3025396,Yanis,male,,gay,,,,
1633650,Q5214161,Dan Palmer,male,,gay,,,,
1633721,Q5880211,Giovanny Romero Infante,male,,homosexuality,,,,
1634368,Q15987788,Raquel Pennington,female,,lesbianism,,,,
1634506,Q17198117,Chloe Dykstra,female,,pansexuality,,,,
1634507,Q17198117,Chloe Dykstra,female,,bisexuality,,,,
1634527,Q17403226,Lilly Singh,female,,bisexuality,,,,
1634715,Q21063171,Kate Leth,non-binary,,bisexuality,,L371,,they/them
1634716,Q21063171,Kate Leth,non-binary,,bisexuality,,L484,,she/her
1636414,Q5977242,Little Caprice,female,,bisexuality,,,,
1637189,Q18355929,Ocean Vuong,male,,homosexuality,,,,
1637200,Q18552293,Josef Salvat,male,,bisexuality,,,,
1637322,Q20685460,Calum Scott,male,,homosexuality,,,,
